Selected,Mass,SemiMajorAxis,StarMass,System,Planet,PlanetSolarMass,q,RE_Median,RE_upper,RE_lower,s_Median,s_upper,s_lower
True,67.0,0.533,0.8,HD 8326,HD 8326 b,0.000201,0.00025125,467972511480.90436,536679625345.7519,392090339336.0005,0.17038503227852134,0.14857189971161205,0.2033600511789338
True,215.0,0.534,0.83,HD 37124,HD 37124 b,0.0006450000000000001,0.0007771084337349399,476666242441.25,546649758548.4272,399374373843.81995,0.16759128703452006,0.14613581696032288,0.2000256258001112
True,7.0,0.6,0.77,HD 40307,HD 40307 g,2.1000000000000002e-05,2.7272727272727276e-05,459114186581.54065,526520732736.5747,384668399947.405,0.1955037594681221,0.1704748624718401,0.23334006514211345
True,40.4,0.603,0.89,Kepler-35,Kepler-35 (AB) b,0.0001212,0.00013617977528089889,493594547220.3796,566063454959.4666,413557738469.7206,0.18275595376274195,0.15935906382758558,0.2181251464019067
True,18.43,0.63,0.86,HD 69830,HD 69830 d,5.529e-05,6.429069767441861e-05,485204226964.6628,556441278825.4039,406527916342.36694,0.1942408407414719,0.1693736258673649,0.23183273076272623
True,17.0,0.633,0.84,Kepler-1661,Kepler-1661 b,5.1e-05,6.0714285714285715e-05,479529128496.72894,549932969801.1562,401773040298.43884,0.19747553192712297,0.17219420352025994,0.23569343939578716
True,270.0,0.64,0.92,HD 155358,HD 155358 b,0.0008100000000000001,0.0008804347826086957,501844609642.2746,575524780787.4524,420470045699.70624,0.19078107239252795,0.1663567860118285,0.22770338524980355
True,105.0,0.68,0.74,BD-08 2823,BD-08 2823 c,0.000315,0.0004256756756756757,450081549432.0049,516161935579.97125,377100413199.9506,0.22601760998748405,0.19708225091759887,0.2697593334328882
True,59.5,0.681,0.82,HD 45364,HD 45364 b,0.0001785,0.0002176829268292683,473786057508.3323,543346708619.6326,396961213540.6122,0.2150252251414064,0.1874971396134954,0.25663956630907914
True,67.0,0.6873,0.85,HD 218566,HD 218566 b,0.000201,0.00023647058823529412,482375023680.33545,553196695604.362,404157470966.65027,0.21315037762505384,0.18586231492585048,0.25440187511179774
True,509.0,0.699,0.94,HAT-P-44,HAT-P-44 c,0.0015270000000000001,0.0016244680851063833,507270114450.4282,581746851136.2795,425015799924.8128,0.20614009615554116,0.1797495078235455,0.24603487726372134
True,105.8,0.705,0.69,Kepler-16,Kepler-16 (AB) b,0.0003174,0.00046000000000000007,434610180702.4948,498419080669.404,364137741106.3494,0.2426687186530894,0.21160164158044487,0.2896329706012532
True,852.0,0.706,0.87,HIP 109600,HIP 109600 b,0.002556,0.0029379310344827586,488017028655.9147,559667052392.8639,408884619658.3753,0.21641845887642483,0.18871200796188192,0.2583024358690909
True,0.815,0.723,1.0,Sun,Venus,2.445e-06,2.445e-06,523209173636.30145,600026062206.1102,438370326038.1284,0.20672239249555263,0.18025725707988396,0.24672986679374334
True,48.0,0.771,0.905,55 Cancri,55 Cancri f,0.000144,0.00015911602209944752,497736671982.635,570813721077.6792,417028213900.9918,0.23172842710269184,0.20206195445355887,0.2765753785120344
True,467.0,0.777,0.86,BD+14 4559,BD+14 4559 b,0.0014010000000000001,0.0016290697674418606,485204226964.6628,556441278825.4039,406527916342.36694,0.2395637035811487,0.20889413856975006,0.28592703460736235
True,229.0,0.78,0.91,BD+55 362,BD+55 362 b,0.000687,0.0007549450549450549,499109741272.63354,572388382610.2513,418178638745.69836,0.23378849319763823,0.20385828555826152,0.2790341340781658
True,6.0,0.788,0.934,KIC 9632895,KIC 9632895 b,1.8e-05,1.9271948608137044e-05,505648575572.2916,579887240034.6615,423657195063.67865,0.23313206188506924,0.20328589228031713,0.2782506620587383
True,731.0,0.83,1.07,HD 12661,HD 12661 b,0.002193,0.0020495327102803738,541211777526.6759,620671784922.942,453453791188.61633,0.22942219410852593,0.20005097137283423,0.273822814783564
True,1042.0,0.83,1.1,HD 40979,HD 40979 A b,0.003126,0.0028418181818181815,548746410753.54614,629312643174.4622,459766676724.02325,0.22627208314135291,0.19730414576006428,0.2700630553790146
True,432.0,0.83,0.81,BD+45 564,BD+45 564 b,0.001296,0.0016,470888256272.6713,540023455985.49915,394533293434.3156,0.26368462543615906,0.22992703761534303,0.3147161356059735
True,5530.0,0.83,1.13,HD 202206,HD 202206 b,0.01659,0.014681415929203542,556178980631.4286,637836453269.1943,465994048576.1334,0.22324826683773638,0.1946674462413361,0.26645403274342316
True,33.1,0.859,1.0,Kepler-511,Kepler-511 b,9.93e-05,9.93e-05,523209173636.30145,600026062206.1102,438370326038.1284,0.24560793243939102,0.21416456961496586,0.29314101739394954
True,283.0,0.87,0.65,HD 128356,HD 128356 b,0.000849,0.0013061538461538462,421824721413.01526,483756476920.22797,353425455772.5063,0.3085402305054479,0.26904011209576,0.3682527521770907
True,152.6,0.875,1.13,HD 164509,HD 164509 b,0.0004578,0.0004051327433628319,556178980631.4286,637836453269.1943,465994048576.1334,0.23535208853375825,0.20522170537490256,0.2809003357234883
True,70.9,0.89,0.86,HD 137388,HD 137388 b,0.00021270000000000002,0.00024732558139534886,485204226964.6628,556441278825.4039,406527916342.36694,0.27440372739668256,0.23927385241580124,0.3275097307600418
True,458.0,0.89,0.78,HIP 5158,HIP 5158 b,0.001374,0.0017615384615384615,462085830462.4819,529928669496.8722,387158189046.2922,0.2881322898269212,0.2512448487720766,0.34389521439725956
